t_ms,V_mV,m,h,n,Iinj_uAcm2,INa_uAcm2,IK_uAcm2,IL_uAcm2
0.9,-64.99688022,0.05294739051,0.5961148631,0.3176808615,0,-1.221042942,4.401096064,-3.182964067
0.91,-64.99685117,0.05294758321,0.5961147414,0.3176809422,0,-1.221055717,4.401111188,-3.182955351
0.92,-64.99682223,0.05294777544,0.5961146186,0.3176810236,0,-1.221068457,4.401126309,-3.182946668
0.93,-64.99679339,0.05294796718,0.5961144948,0.3176811056,0,-1.221081162,4.401141426,-3.182938018
0.94,-64.99676467,0.05294815841,0.5961143699,0.3176811883,0,-1.221093832,4.401156539,-3.182929401
0.95,-64.99673606,0.05294834914,0.596114244,0.3176812716,0,-1.221106466,4.401171648,-3.182920818
0.96,-64.99670756,0.05294853935,0.5961141171,0.3176813556,0,-1.221119064,4.401186752,-3.182912267
0.97,-64.99667917,0.05294872904,0.5961139892,0.3176814402,0,-1.221131625,4.401201851,-3.18290375
0.98,-64.99665089,0.05294891821,0.5961138602,0.3176815255,0,-1.221144148,4.401216945,-3.182895266
0.99,-64.99662272,0.05294910683,0.5961137303,0.3176816114,0,-1.221156634,4.401232034,-3.182886815
1,-64.99659466,0.05294929492,0.5961135993,0.3176816979,0,-1.221169081,4.401247117,-3.182878398
1.01,-64.99656671,0.05294948245,0.5961134674,0.3176817851,0,-1.221181489,4.401262195,-3.182870013
1.02,-64.99653887,0.05294966944,0.5961133344,0.3176818728,0,-1.221193858,4.401277267,-3.182861662
1.03,-64.99651115,0.05294985586,0.5961132005,0.3176819612,0,-1.221206188,4.401292332,-3.182853344
1.04,-64.99648353,0.05295004172,0.5961130656,0.3176820502,0,-1.221218478,4.401307391,-3.182845059
1.05,-64.99645602,0.05295022701,0.5961129297,0.3176821399,0,-1.221230728,4.401322443,-3.182836807
1.06,-64.99642863,0.05295041172,0.5961127929,0.3176822301,0,-1.221242937,4.401337489,-3.182828588
1.07,-64.99640134,0.05295059585,0.5961126551,0.3176823209,0,-1.221255106,4.401352527,-3.182820402
1.08,-64.99637417,0.0529507794,0.5961125163,0.3176824123,0,-1.221267233,4.401367558,-3.18281225
1.09,-64.9963471,0.05295096236,0.5961123766,0.3176825044,0,-1.221279319,4.401382581,-3.182804131
1.1,-64.99632015,0.05295114473,0.5961122359,0.317682597,0,-1.221291363,4.401397596,-3.182796045
1.11,-64.99629331,0.0529513265,0.5961120943,0.3176826902,0,-1.221303365,4.401412603,-3.182787992
1.12,-64.99626657,0.05295150767,0.5961119518,0.3176827839,0,-1.221315325,4.401427602,-3.182779972
1.13,-64.99623995,0.05295168824,0.5961118083,0.3176828783,0,-1.221327243,4.401442592,-3.182771986
1.14,-64.99621344,0.05295186819,0.596111664,0.3176829732,0,-1.221339118,4.401457574,-3.182764033
1.15,-64.99618704,0.05295204754,0.5961115187,0.3176830687,0,-1.22135095,4.401472546,-3.182756112
1.16,-64.99616075,0.05295222627,0.5961113725,0.3176831648,0,-1.221362738,4.40148751,-3.182748225
1.17,-64.99613457,0.05295240439,0.5961112253,0.3176832614,0,-1.221374484,4.401502463,-3.182740372
1.18,-64.9961085,0.05295258188,0.5961110773,0.3176833586,0,-1.221386186,4.401517407,-3.182732551
1.19,-64.99608255,0.05295275875,0.5961109284,0.3176834563,0,-1.221397844,4.401532342,-3.182724764
1.2,-64.9960567,0.05295293499,0.5961107786,0.3176835546,0,-1.221409458,4.401547265,-3.182717009
1.21,-64.99603096,0.05295311061,0.596110628,0.3176836534,0,-1.221421028,4.401562179,-3.182709288
1.22,-64.99600534,0.05295328559,0.5961104764,0.3176837527,0,-1.221432554,4.401577082,-3.182701601
1.23,-64.99597982,0.05295345994,0.596110324,0.3176838526,0,-1.221444035,4.401591974,-3.182693946
1.24,-64.99595442,0.05295363365,0.5961101707,0.317683953,0,-1.221455472,4.401606855,-3.182686325
1.25,-64.99592912,0.05295380673,0.5961100165,0.317684054,0,-1.221466864,4.401621724,-3.182678736
1.26,-64.99590394,0.05295397916,0.5961098615,0.3176841555,0,-1.221478212,4.401636582,-3.182671181
1.27,-64.99587887,0.05295415095,0.5961097057,0.3176842575,0,-1.221489514,4.401651428,-3.18266366
1.28,-64.9958539,0.0529543221,0.596109549,0.31768436,0,-1.221500771,4.401666262,-3.182656171
1.29,-64.99582905,0.0529544926,0.5961093914,0.317684463,0,-1.221511983,4.401681084,-3.182648715
1.3,-64.99580431,0.05295466245,0.596109233,0.3176845665,0,-1.22152315,4.401695894,-3.182641293
1.31,-64.99577968,0.05295483165,0.5961090738,0.3176846705,0,-1.221534271,4.401710691,-3.182633904
1.32,-64.99575516,0.0529550002,0.5961089138,0.3176847751,0,-1.221545347,4.401725475,-3.182626548
1.33,-64.99573075,0.0529551681,0.596108753,0.3176848801,0,-1.221556377,4.401740246,-3.182619226
1.34,-64.99570645,0.05295533534,0.5961085913,0.3176849856,0,-1.221567361,4.401755003,-3.182611936
1.35,-64.99568227,0.05295550192,0.5961084289,0.3176850916,0,-1.2215783,4.401769747,-3.18260468
1.36,-64.99565819,0.05295566785,0.5961082656,0.3176851981,0,-1.221589192,4.401784478,-3.182597457
1.37,-64.99563422,0.05295583312,0.5961081016,0.317685305,0,-1.221600039,4.401799194,-3.182590267
1.38,-64.99561037,0.05295599773,0.5961079367,0.3176854125,0,-1.221610839,4.401813896,-3.18258311
1.39,-64.99558662,0.05295616167,0.5961077711,0.3176855204,0,-1.221621593,4.401828584,-3.182575987
1.4,-64.99556299,0.05295632495,0.5961076047,0.3176856288,0,-1.221632301,4.401843257,-3.182568896
1.41,-64.99553946,0.05295648757,0.5961074375,0.3176857376,0,-1.221642963,4.401857915,-3.182561839
1.42,-64.99551605,0.05295664953,0.5961072696,0.3176858469,0,-1.221653579,4.401872558,-3.182554815
1.43,-64.99549275,0.05295681082,0.5961071009,0.3176859567,0,-1.221664147,4.401887186,-3.182547824
1.44,-64.99546955,0.05295697144,0.5961069314,0.3176860669,0,-1.22167467,4.401901798,-3.182540866
1.45,-64.99544647,0.05295713139,0.5961067612,0.3176861775,0,-1.221685146,4.401916395,-3.182533941
1.46,-64.9954235,0.05295729067,0.5961065902,0.3176862886,0,-1.221695575,4.401930976,-3.18252705
1.47,-64.99540064,0.05295744929,0.5961064185,0.3176864001,0,-1.221705958,4.401945541,-3.182520192
1.48,-64.99537789,0.05295760723,0.5961062461,0.3176865121,0,-1.221716294,4.401960089,-3.182513366
1.49,-64.99535525,0.05295776451,0.596106073,0.3176866245,0,-1.221726583,4.401974621,-3.182506574
